fen,eval
r1b1k2r/p1pp1ppp/4p2B/1p6/1n1b2Pq/1QPP1nR1/PP2PP2/RNK2BN1 w kq -,24
r1b1k2r/p1pp1ppp/4p2B/1p1Q4/1n1b2Pq/2PP1nR1/PP2PP2/RNK2BN1 b kq -,107
r1b1k2r/p1pp1ppp/4p2B/1p1Q3q/1n1b2P1/2PP1nR1/PP2PP2/RNK2BN1 w kq -,61
r1b1k2r/p1pp1ppp/4p2B/1p1Q3q/1n1b2P1/1PPP1nR1/P3PP2/RNK2BN1 b kq -,212
1r3kn1/4p3/1P4p1/p1r5/6b1/8/1n6/2b1K3 w - -,-3
1r3kn1/4p3/1P4p1/p1r5/6b1/8/1n6/2b2K2 b - -,-37
5kn1/4p3/1r4p1/p1r5/6b1/8/1n6/2b2K2 w - -,-31
5kn1/4p3/1r4p1/p1r5/6b1/8/1n6/2b1K3 b - -,-68
5kn1/4p3/1r4p1/p1r5/6b1/8/8/2bnK3 w - -,26
5kn1/4p3/1r4p1/p1r5/6b1/8/8/2bn1K2 b - -,-54
4k1n1/4p3/1r4p1/p1r5/6b1/8/8/2bn1K2 w - -,-69
4k1n1/4p3/1r4p1/p1r5/6b1/8/8/2bn2K1 b - -,4
4k1n1/8/1r2p1p1/p1r5/6b1/8/8/2bn2K1 w - -,-40
4k1n1/8/1r2p1p1/p1r5/6b1/8/8/2bn1K2 b - -,6
4k1n1/8/1r2p1p1/p1r5/6b1/4n3/8/2b2K2 w - -,-69
4k1n1/8/1r2p1p1/p1r5/6b1/4n3/8/2b1K3 b - -,-25
6n1/4k3/1r2p1p1/p1r5/6b1/4n3/8/2b1K3 w - -,15
6n1/4k3/1r2p1p1/p1r5/6b1/4n3/5K2/2b5 b - -,-57
6n1/3k4/1r2p1p1/p1r5/6b1/4n3/5K2/2b5 w - -,-93
6n1/3k4/1r2p1p1/p1r5/6b1/4n3/8/2b1K3 b - -,-41
6n1/3k4/r3p1p1/p1r5/6b1/4n3/8/2b1K3 w - -,8
6n1/3k4/r3p1p1/p1r5/6b1/4n3/5K2/2b5 b - -,-22
r5n1/3k4/4p1p1/p1r5/6b1/4n3/5K2/2b5 w - -,-90
r5n1/3k4/4p1p1/p1r5/6b1/4n3/8/2b1K3 b - -,-65
r7/3k4/4p1pn/p1r5/6b1/4n3/8/2b1K3 w - -,-7
r7/3k4/4p1pn/p1r5/6b1/4n3/5K2/2b5 b - -,-41
r7/3k4/4p1pn/p1r5/2n3b1/8/5K2/2b5 w - -,-70
r7/3k4/4p1pn/p1r5/2n3b1/6K1/8/2b5 b - -,-54
r7/3k4/4p1pn/p1r5/2n5/6Kb/8/2b5 w - -,-61
r7/3k4/4p1pn/p1r5/2n5/5K1b/8/2b5 b - -,-9
r7/8/2k1p1pn/p1r5/2n5/5K1b/8/2b5 w - -,4
r7/8/2k1p1pn/p1r5/2n1K3/7b/8/2b5 b - -,-22
r5n1/8/2k1p1p1/p1r5/2n1K3/7b/8/2b5 w - -,-21
r5n1/8/2k1p1p1/p1r5/2n5/5K1b/8/2b5 b - -,-52
r5n1/8/2k1p1p1/p1r5/2n5/5K2/6b1/2b5 w - -,24
r5n1/8/2k1p1p1/p1r5/2n5/8/6K1/2b5 b - -,-64
r5n1/8/2k1p1p1/p6r/2n5/8/6K1/2b5 w - -,19
r5n1/8/2k1p1p1/p6r/2n5/8/5K2/2b5 b - -,-41
r5n1/8/2k1p1p1/p6r/2n5/b7/5K2/8 w - -,-27
r5n1/8/2k1p1p1/p6r/2n5/b5K1/8/8 b - -,-37
r5n1/8/2k1p1pr/p7/2n5/b5K1/8/8 w - -,-12
r5n1/8/2k1p1pr/p7/2n5/b7/6K1/8 b - -,-36
r5n1/8/2k1p1pr/p3n3/8/b7/6K1/8 w - -,56
r5n1/8/2k1p1pr/p3n3/8/b7/8/6K1 b - -,-31
5rn1/8/2k1p1pr/p3n3/8/b7/8/6K1 w - -,35
5rn1/8/2k1p1pr/p3n3/8/b7/6K1/8 b - -,2
5rn1/3k4/4p1pr/p3n3/8/b7/6K1/8 w - -,72
5rn1/3k4/4p1pr/p3n3/8/b7/8/6K1 b - -,37
5rn1/3k4/4p1pr/p7/8/b2n4/8/6K1 w - -,10
5rn1/3k4/4p1pr/p7/8/b2n4/6K1/8 b - -,27
5rn1/2k5/4p1pr/p7/8/b2n4/6K1/8 w - -,5
5rn1/2k5/4p1pr/p7/8/b2n4/8/6K1 b - -,-54
5rn1/8/1k2p1pr/p7/8/b2n4/8/6K1 w - -,0
5rn1/8/1k2p1pr/p7/8/b2n4/6K1/8 b - -,-25
6n1/8/1k2prpr/p7/8/b2n4/6K1/8 w - -,53
6n1/8/1k2prpr/p7/8/b2n4/8/6K1 b - -,-28
6n1/1k6/4prpr/p7/8/b2n4/8/6K1 w - -,-10
6n1/1k6/4prpr/p7/8/b2n4/6K1/8 b - -,-20
6n1/1k6/4prpr/p7/1n6/b7/6K1/8 w - -,0
6n1/1k6/4prpr/p7/1n6/b7/8/6K1 b - -,51
6n1/1k6/4p1pr/p7/1n6/b7/5r2/6K1 w - -,-71
6n1/1k6/4p1pr/p7/1n6/b7/5K2/8 b - -,-12
6n1/1k6/4p1pr/p7/8/b7/n4K2/8 w - -,-1
6n1/1k6/4p1pr/p7/8/b7/n7/6K1 b - -,-44
4k3/8/8/8/8/8/8/4KQ2 w - -,71
4k3/8/8/8/8/8/8/4KR2 w - -,30
7R/4p3/8/2r1K3/5bNk/1P6/8/8 b - -,62
rnbqk1nr/p5bp/1ppppp2/6p1/2B5/4P2P/PPPP1PPR/RNBQK1N1 b Qkq -,161
rnb3n1/p1qkb3/Bpppp2r/5ppp/P3PP2/1PP4P/3P2PR/RNBQK1N1 b Q -,24
1r2k3/1N6/5B2/P6p/1R4p1/5b2/1R1KP1p1/6nB w - -,133
r7/pr5k/Pp2b2P/2pp1P2/P2P4/3B4/R2K4/1NB4R b - -,5
4k3/r3n2r/2n1p1p1/p7/2PBP2p/NqQ1KP1P/P2P3P/5R1R b - -,81
8/8/1R2Pk2/1n6/1PK1P2p/2n4p/2Q4r/8 w - -,106
1nbqkbn1/r1p1p2r/p4p2/1p1p1Qpp/P2P3P/RPP2P2/4P1P1/1NB1KBNR b K -,117
1nbqkbn1/1ppp3P/3r3p/pP1p1pN1/2P1P3/8/P2PQPPR/R1B1KB2 b Q -,142
3k1b1N/1pp5/6n1/1P1p3p/RB1P1P2/pQ4KB/r4P2/6R1 b - -,-9
rnb2b2/pp1p1qpr/1k5p/3p2B1/2Pn3P/NPQp1pKR/P5P1/4R1N1 b - -,175
r7/p3Nk2/p1n1Nrp1/1n1p2P1/1P6/P3K1p1/8/8 w - -,13
1r6/p7/P4knr/2p1p1p1/bpP1P1P1/8/1K6/3Bn3 w - -,12
rrb5/p3nk1p/1pp1p3/5BP1/PPPR3P/8/4KP1R/2b1N3 w - -,16
1n2kbnr/r1p1pppp/pp6/6P1/1P6/P1P1P3/3NbPBP/R1BQK2R w KQk -,145
Nn1k1bn1/4p1pr/2r1Q2p/p5PP/PPp5/1BP1P3/1B2KP2/1b5R w - -,17
n4bn1/4p1pr/6Pp/p3k2P/PPr1P3/1pP1KQ2/1Bb2P2/2R5 b - -,-79
3r3r/pQp1ppb1/6p1/1NP4p/1P1P2k1/3R4/4PK1P/2R2n1B b - -,35
1rbqk1nr/3pp2p/1p5b/p1N2p2/B7/2PnP1P1/PP1P1P1P/R1BQ2KR b k -,63
1rbqk2r/3pp2p/1p3n1b/p1N2p2/B7/2PnP1P1/PP1P1P1P/R1BQ2KR w k -,57
4kr2/rpp3pp/n2b3n/2Pbpp2/2qp2PP/1P1P1P2/PB1NP1R1/R1Q1KBN1 w Q -,69
3n1r2/1ppbk1pp/6P1/r1P1b3/1n1pPR1P/1P3P2/q3P1K1/BN2R1N1 w - -,117
R4r2/2pk1np1/1p2b1p1/1rn1B3/7P/5P2/3NNK2/8 w - -,35
rnb1k1nr/qp1p1Npp/4p3/6P1/p2P1Q2/bp2P3/P1PN1P1P/R1B1KB1R w KQkq -,177
rnb1k1nr/qpQ2Npp/4B3/3p2P1/p2P4/bp2P3/P1PN1P1P/R1B1K2R w KQkq -,104
3k4/8/n7/4P3/7p/P4K1P/3N1P2/R1R5 b - -,-73
8/5k2/n7/4P3/7p/P4K1P/3N1P2/R3R3 w - -,48
1r2q2r/1p1bkpnp/3pn1pb/p1p5/P1P4P/2QP1P2/1P2P1P1/R3KBN1 w - -,39
2bb2n1/4Bq2/1p1Pk2p/1p3p1P/1P2pPp1/2P1P1PB/4N2R/2K5 b - -,59
r2k2n1/1bb4Q/n1p3p1/pP1p2Pp/3p1r2/1PP4N/2R4P/1NB1KBR1 b - -,-76
r7/3kn1bp/2P3Nn/p4p1P/b2p4/1r6/1R4P1/3Q1K1R b - -,0
rn1qb3/4p1r1/5k2/pp5p/1PNpKp1n/2P2P2/3BB1PP/R5R1 b - -,7
rnbq1bnr/1p1pkppp/p1p5/4p3/1P6/P4NPB/2PPPP1P/RNBQK2R b KQ -,104
r1bk3r/3p2b1/n1p1n3/pp2PNpp/1P2B1p1/R3P3/2P4P/BN1K2QR w - -,41
3r2b1/4k3/n6r/Ppp1P1pp/1B2P1p1/1N6/R1P4P/3RK3 w - -,88
rn1q1b1r/1Bp1p1pp/1p3pkn/pb6/2PPN3/5N1P/1P2KPPR/R1B5 b - -,87
5b1r/5k2/2BPpn1p/p7/1pP2Pp1/3R1N1p/1P2K3/7R b - -,48
rnb1kbnr/2Nqpp1p/1p6/p2P2p1/P2P1PP1/8/1PP3BP/R1BQK1NR b KQkq -,-69
rnb1kbnr/1p1p2p1/p3p1p1/2p5/PP1P3P/4p1P1/R3NP2/1NBQK2R w Kq -,104
3B4/k5p1/6P1/8/8/1p2Q3/1r1N3K/4n1R1 b - -,110
1n4b1/r1Nk3r/1p1P4/1R4Pp/2p1b2P/p1P1n1P1/1B6/2N3K1 w - -,-2
1r1k4/p3bpr1/bP3n2/2pp2P1/3Q4/4PK1P/3Pn1P1/qN2NBR1 w - -,39
rnbqkbnr/1ppppppp/p7/8/8/7P/PPPPPPPR/RNBQKBN1 b Qkq -,223
rnb2bnr/1p1pkpp1/p6p/q1p1p1P1/4P3/P6P/1PPPNPR1/RNBQKB2 b Q -,119
r1b2bn1/p1kppppr/B5N1/2p5/1P2P2p/8/RPPN1PPP/2BQK2R w K -,199
6nr/2k2p2/1rPb3p/pB1p4/1P1RPP2/8/2PN2pP/2K4R w - -,85
6R1/2P5/5p2/1P6/8/1k3K1p/7b/1B6 w - -,-67
1R3b2/k7/P1pn1p2/P6B/3p3P/1b1PPPP1/6Nq/2R1K3 b - -,-114
8/7r/2P2k2/5P2/5P1p/5P1b/8/bQ2K3 b - -,-48
r1b4r/pp1pk2p/Q1n1p3/P3b1pn/1pN2p2/2PP3P/4NPP1/R1BK1B1R w - -,197
r1bk3r/3q2bp/p3B3/P1pP1np1/1R2p2P/BP1n1PP1/2K5/6NR w - -,-24
rnbqkb1r/ppppn3/4p3/5ppP/2P2P2/1Q5P/PP1PP3/RNB1KBNR b KQkq -,173
rnbq4/1p1k3r/1pp1p1nb/P4p1P/2p1Pp2/1P3N1P/3P2R1/RNB1KB2 w Q -,66
6nr/1kB4B/1p4b1/6pn/1PP5/N1N1Pp1P/P5P1/R2K3R w - -,-52
1rn5/2B3n1/2P5/1p4p1/1P2k1P1/4P3/PK6/2R1R3 b - -,-56
2b2bnr/3pk1p1/1r1p4/ppP1p2p/BP2P3/1N2B3/P5P1/1R1K1R2 w - -,193
rnbqkbnr/1pppp1p1/p7/5p1p/2P2P2/NP6/P2PP1PP/R1BQKBNR b KQkq c3,232
rnb1r3/1p1pk3/pq1bp3/2p2ppp/2PN1P2/1P1P4/P3P1PR/1RBK1BN1 w - -,111
rnb4r/1pqpk3/3bp3/p4ppp/1PPp1P2/P2P1N1R/3KP1P1/1RB2B2 b - -,-57
3r4/8/1n6/3b1p1k/1K1p1r2/3B2p1/3B4/8 w - -,-2
3QN1k1/6p1/P4bP1/1p2P2r/np6/3P4/3R1K2/2q5 b - -,37
